geo_aggregation_level,from,to,weight
1,115310,238340,0.25666666666666665
1,212321,238340,0.2421784472769409
1,221310,238340,0.24219489120151372
1,236115,238340,0.3125
1,236117,238340,0.35803757828810023
1,236118,238340,0.3157894736842105
1,236220,238340,0.2454054054054054
1,237110,238340,0.2628475147430497
1,237210,238340,0.28654970760233917
1,237310,238340,0.24444444444444444
1,237990,238340,0.24735729386892177
1,238110,238340,0.29209896249002393
1,238120,238340,0.2733918128654971
1,238130,238340,0.34691629955947134
1,238140,238340,0.315028901734104
1,238150,238340,0.3435672514619883
1,238160,238340,0.36341756919374246
1,238170,238340,0.29180327868852457
1,238190,238340,0.28895463510848124
1,238210,238340,0.34276387377584333
1,238220,238340,0.34223541048466866
1,238310,238340,0.3671562082777036
1,238320,238340,0.38209817131857554
1,238330,238340,0.36148007590132825
1,111000,238350,0.4274390243902439
1,112000,238350,0.4252941176470588
1,113310,238350,0.479151426481346
1,114210,238350,0.31114435302916976
1,115112,238350,0.4338184338184338
1,115115,238350,0.4261111111111111
1,115210,238350,0.4891101431238332
1,115310,238350,0.3059087509349289
1,212321,238350,0.31264023934181
1,221122,238350,0.42328398384925975
1,221310,238350,0.3537771129394166
1,236115,238350,0.5476804123711341
1,236117,238350,0.4031413612565445
1,236118,238350,0.5945945945945946
1,236220,238350,0.31712789827973076
1,237110,238350,0.4360508601346298
1,237130,238350,0.31413612565445026
1,237210,238350,0.25654450261780104
1,237310,238350,0.33133881824981304
1,237990,238350,0.33208676140613314
1,238110,238350,0.5325355272999253
1,238120,238350,0.2543006731488407
1,238130,238350,0.4151084517576664
1,238140,238350,0.4607329842931937
1,238150,238350,0.24906507105459985
1,238160,238350,0.3642483171278983
1,238170,238350,0.5100972326103216
1,238190,238350,0.368735976065819
1,238210,238350,0.381451009723261
1,238220,238350,0.43455497382198954
1,238290,238350,0.2707554225878833
1,238310,238350,0.3231114435302917
1,238320,238350,0.4816753926701571
1,238330,238350,0.4869109947643979
1,238340,238350,0.3163799551234106
1,236117,238390,0.2640918580375783
1,238110,238390,0.24820430965682364
1,238120,238390,0.29770992366412213
1,238130,238390,0.2643171806167401
1,238140,238390,0.29672447013487474
1,238150,238390,0.31496062992125984
1,238160,238390,0.29001203369434414
1,238170,238390,0.25901639344262295
1,238190,238390,0.24260355029585798
1,238210,238390,0.29379760609357997
1,238220,238390,0.3165182987141444
1,238290,238390,0.256563245823389
1,238310,238390,0.30173564753004006
1,238320,238390,0.2781520692974013
1,238330,238390,0.301707779886148
1,238340,238390,0.3157894736842105
1,238350,238390,0.25654450261780104
1,111000,238910,0.5347766006448641
1,112000,238910,0.5877475817595578
1,113110,238910,0.246890833717181
1,113310,238910,0.5191156149239982
1,114210,238910,0.34408106863196686
1,115112,238910,0.4762782128051589
1,115115,238910,0.6222938737908797
1,115210,238910,0.5905112851220635
1,115310,238910,0.32980193459235374
1,212321,238910,0.30400736987563337
1,221122,238910,0.49147858129894056
1,221310,238910,0.3588208198986642
1,236115,238910,0.5831414094887148
1,236117,238910,0.35651773376324275
1,236118,238910,0.5333947489636113
1,236220,238910,0.2878857669276831
1,237110,238910,0.4168585905112851
1,237130,238910,0.3035467526485491
1,237310,238910,0.3155228005527407
1,237990,238910,0.3408567480423768
1,238110,238910,0.4366651312759097
1,238130,238910,0.3367111929986181
1,238140,238910,0.37356057116536157
1,238160,238910,0.28281897742975587
1,238170,238910,0.42883463841547675
1,238190,238910,0.36480884385076
1,238210,238910,0.3146015660985721
1,238220,238910,0.3473053892215569
1,238290,238910,0.26577614002763705
1,238310,238910,0.26715799170888993
1,238320,238910,0.3809304467987103
1,238330,238910,0.37540304007369873
1,238340,238910,0.24550898203592814
1,238350,238910,0.49792722247812066
1,111000,238990,0.44695121951219513
1,112000,238990,0.47823529411764704
1,113310,238990,0.453723034098817
1,114210,238990,0.3562978427279054
1,115112,238990,0.4733194733194733
1,115115,238990,0.48
1,115210,238990,0.5407591785936527
1,115310,238990,0.3013221990257481
1,212321,238990,0.31106471816283926
1,221122,238990,0.46567967698519513
1,221310,238990,0.34933890048712596
1,236115,238990,0.5766752577319587
1,236117,238990,0.42519137091162146
1,236118,238990,0.5734168406402227
1,236220,238990,0.32289491997216424
1,237110,238990,0.4516353514265832
1,237130,238990,0.30967292971468335
1,237210,238990,0.2595685455810717
1,237310,238990,0.3500347947112039
1,237990,238990,0.35768963117606123
1,238110,238990,0.510786360473208
1,238120,238990,0.2651356993736952
1,238130,238990,0.40640222686151706
1,238140,238990,0.44606819763395966
1,238150,238990,0.25052192066805845
1,238160,238990,0.35281837160751567
1,238170,238990,0.4780793319415449
1,238190,238990,0.4154488517745303
1,238210,238990,0.37856645789839943
1,238220,238990,0.4154488517745303
1,238290,238990,0.2860125260960334
1,238310,238990,0.3221990257480863
1,238320,238990,0.44676409185803756
1,238330,238990,0.4398051496172582
1,238340,238990,0.3034098816979819
1,238350,238990,0.558803061934586
1,238390,238990,0.2581767571329158
1,238910,238990,0.5315522800552741
1,111000,311119,0.2804878048780488
1,112000,311119,0.3164705882352941
1,114210,311119,0.25205761316872427
1,115112,311119,0.3090783090783091
